title,link,pubDate
"""한국이 일본 이긴 결정적 이유?"" 대만 `반도체 대부`가 밝힌 비밀 - 매일경제",https://www.mk.co.kr/news/world/view/2022/03/274338/,"Sun, 27 Mar 2022 16:52:23 GMT"
TSMC '넘사벽' 1위 굳히나...반도체 수주 확대 - ZD넷 코리아,https://zdnet.co.kr/view/?no=20220325123152,"Fri, 25 Mar 2022 04:10:18 GMT"
"KT, 드론 띄워 안전 지킨다…삼성 반도체 사업장에 설치 - 매일경제",https://www.mk.co.kr/news/it/view/2022/03/276597/,"Sun, 27 Mar 2022 09:21:20 GMT"
"[단독] 美, 韓에 '칩4 동맹' 제안…'반도체망서 中 고립' - 서울경제 - 서울경제신문",https://www.sedaily.com/NewsVIew/263KWTWF35,"Sun, 27 Mar 2022 08:33:35 GMT"
"GM, 반도체 부족에 픽업트럭 일부 생산 중단 - 조선비즈 - 조선비즈",https://biz.chosun.com/international/international_economy/2022/03/27/S3KXFHJAIRBHDOEMCWBSWEIHVU/,"Sat, 26 Mar 2022 23:24:00 GMT"
"한국세라믹기술원, 글로벌 초격차 반도체 강국 위한 지원시설 착공 - 헬로티 – 매일 만나는 첨단 산업, IT 소식",https://hellot.net/news/article.html?no=66775,"Sat, 26 Mar 2022 23:56:51 GMT"
반도체 연구와 대학의 역할 < 관악시평 < 기고 < 오피니언 < 기사본문 - 대학신문,http://www.snunews.com/news/articleView.html?idxno=30530,"Sat, 26 Mar 2022 22:49:15 GMT"
반도체 공급난에 웨이퍼도 떴다… 16% 성장한 49兆 시장 - 조선비즈 - 조선비즈,https://biz.chosun.com/it-science/ict/2022/03/22/HNW56CDU4VEMRJHPBZDZAXFLVE/,"Mon, 21 Mar 2022 21:00:00 GMT"
"SK하이닉스, 서강대에 ‘시스템반도체공학과’ 공동 신설 - 조선비즈 - 조선비즈",https://biz.chosun.com/it-science/ict/2022/03/25/FS2XH5FBZRACLL2Q52TWIWKJOE/,"Fri, 25 Mar 2022 00:31:00 GMT"
"반도체 1분기 '최대실적' 예고, 車 선방… 화학은 유가 직격탄 [기업 덮친 원자재 대란] - 파이낸셜뉴스",https://www.fnnews.com/news/202203271819153173,"Sun, 27 Mar 2022 09:19:00 GMT"
